title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
밥정,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,박혜령,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
그린 북,드라마,러닝 타임 중앙값 이상,12세 관람가,피터 패럴리,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
가버나움,드라마,러닝 타임 중앙값 이상,15세 관람가,나딘 라바키,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
디지몬 어드벤처 라스트 에볼루션 : 인연,애니메이션,러닝 타임 중앙값 이상,12세 관람가,타구치 토모히사,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
베일리 어게인,모험,러닝 타임 중앙값 이상,전체 관람가,라세 할스트롬,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
원더,드라마,러닝 타임 중앙값 이상,전체 관람가,스티븐 크보스키,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
아일라,드라마,러닝 타임 중앙값 이상,15세 관람가,잔 울카이,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
극장판 바이올렛 에버가든,애니메이션,러닝 타임 중앙값 이상,전체 관람가,이시다테 타이치,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
먼 훗날 우리,드라마,러닝 타임 중앙값 이상,상영등급 정보 없음,유약영,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
당갈,드라마,러닝 타임 중앙값 이상,12세 관람가,니테쉬 티와리,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
포드 V 페라리,액션,러닝 타임 중앙값 이상,12세 관람가,제임스 맨골드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",공연실황,러닝 타임 중앙값 미만,전체 관람가,오윤동,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
주전장,다큐멘터리,러닝 타임 중앙값 이상,상영등급 정보 없음,미키 데자키,연출작 개수 중앙값 미만,연기자 없음,명작
쇼생크 탈출,드라마,러닝 타임 중앙값 이상,15세 관람가,프랭크 다라본트,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
터미네이터 2:오리지널,SF,러닝 타임 중앙값 이상,15세 관람가,제임스 카메론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
클래식,멜로/로맨스,러닝 타임 중앙값 이상,12세 관람가,곽재용,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
라이언 일병 구하기,전쟁,러닝 타임 중앙값 이상,15세 관람가,스티븐 스필버그,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
덕구,드라마,러닝 타임 중앙값 미만,전체 관람가,방수인,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
나 홀로 집에,모험,러닝 타임 중앙값 이상,전체 관람가,크리스 콜럼버스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
월-E,애니메이션,러닝 타임 중앙값 이상,전체 관람가,앤드류 스탠튼,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
보헤미안 랩소디,드라마,러닝 타임 중앙값 이상,12세 관람가,브라이언 싱어,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
빽 투 더 퓨쳐,SF,러닝 타임 중앙값 이상,12세 관람가,로버트 저메키스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
사운드 오브 뮤직,멜로/로맨스,러닝 타임 중앙값 이상,전체 관람가,로버트 와이즈,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
포레스트 검프,드라마,러닝 타임 중앙값 이상,12세 관람가,로버트 저메키스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
잭 스나이더의 저스티스 리그,액션,러닝 타임 중앙값 이상,12세 관람가,잭 스나이더,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
위대한 쇼맨,드라마,러닝 타임 중앙값 이상,12세 관람가,마이클 그레이시,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
글래디에이터,액션,러닝 타임 중앙값 이상,15세 관람가,리들리 스콧,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
타이타닉,멜로/로맨스,러닝 타임 중앙값 이상,15세 관람가,제임스 카메론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
인생은 아름다워,드라마,러닝 타임 중앙값 이상,전체 관람가,로베르토 베니니,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
헬프,드라마,러닝 타임 중앙값 이상,전체 관람가,테이트 테일러,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
살인의 추억,범죄,러닝 타임 중앙값 이상,15세 관람가,봉준호,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
매트릭스,SF,러닝 타임 중앙값 이상,12세 관람가,릴리 워쇼스키,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
가나의 혼인잔치: 언약,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,브렌트 밀러 주니어,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
센과 치히로의 행방불명,애니메이션,러닝 타임 중앙값 이상,전체 관람가,미야자키 하야오,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
토이 스토리 3,애니메이션,러닝 타임 중앙값 이상,전체 관람가,리 언크리치,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
캐스트 어웨이,드라마,러닝 타임 중앙값 이상,12세 관람가,로버트 저메키스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
헌터 킬러,액션,러닝 타임 중앙값 이상,15세 관람가,도노반 마시,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
집으로...,드라마,러닝 타임 중앙값 미만,전체 관람가,이정향,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
반지의 제왕: 왕의 귀환,판타지,러닝 타임 중앙값 이상,12세 관람가,피터 잭슨,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
태극권,액션,러닝 타임 중앙값 이상,15세 관람가,원화평,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
죽은 시인의 사회,드라마,러닝 타임 중앙값 이상,12세 관람가,피터 위어,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
