,title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
0,밥정,다큐멘터리,82분,전체 관람가,박혜령,1개,3개,평점 중앙값 이상의 작품
1,그린 북,드라마,130분,12세 관람가,피터 패럴리,22개,51개,평점 중앙값 이상의 작품
2,가버나움,드라마,126분,15세 관람가,나딘 라바키,11개,1개,평점 중앙값 이상의 작품
3,디지몬 어드벤처 라스트 에볼루션 : 인연,애니메이션,114분,12세 관람가,타구치 토모히사,2개,22개,평점 중앙값 이상의 작품
4,베일리 어게인,모험,100분,전체 관람가,라세 할스트롬,25개,33개,평점 중앙값 이상의 작품
5,원더,드라마,113분,전체 관람가,스티븐 크보스키,9개,12개,평점 중앙값 이상의 작품
6,아일라,드라마,123분,15세 관람가,잔 울카이,2개,2개,평점 중앙값 이상의 작품
7,극장판 바이올렛 에버가든,애니메이션,140분,전체 관람가,이시다테 타이치,7개,5개,평점 중앙값 이상의 작품
8,먼 훗날 우리,드라마,120분,상영등급 정보 없음,유약영,24개,19개,평점 중앙값 이상의 작품
9,당갈,드라마,161분,12세 관람가,니테쉬 티와리,6개,30개,평점 중앙값 이상의 작품
10,포드 V 페라리,액션,152분,12세 관람가,제임스 맨골드,19개,82개,평점 중앙값 이상의 작품
11,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",공연실황,80분,전체 관람가,오윤동,22개,1개,평점 중앙값 이상의 작품
12,주전장,다큐멘터리,121분,상영등급 정보 없음,미키 데자키,1개,연기자 없음,평점 중앙값 이상의 작품
13,쇼생크 탈출,드라마,142분,15세 관람가,프랭크 다라본트,19개,66개,평점 중앙값 이상의 작품
14,터미네이터 2:오리지널,SF,137분,15세 관람가,제임스 카메론,43개,65개,평점 중앙값 이상의 작품
15,클래식,멜로/로맨스,132분,12세 관람가,곽재용,28개,31개,평점 중앙값 이상의 작품
16,라이언 일병 구하기,전쟁,170분,15세 관람가,스티븐 스필버그,145개,98개,평점 중앙값 이상의 작품
17,덕구,드라마,91분,전체 관람가,방수인,7개,220개,평점 중앙값 이상의 작품
18,나 홀로 집에,모험,105분,전체 관람가,크리스 콜럼버스,38개,19개,평점 중앙값 이상의 작품
19,월-E,애니메이션,104분,전체 관람가,앤드류 스탠튼,20개,11개,평점 중앙값 이상의 작품
20,보헤미안 랩소디,드라마,134분,12세 관람가,브라이언 싱어,25개,23개,평점 중앙값 이상의 작품
21,빽 투 더 퓨쳐,SF,120분,12세 관람가,로버트 저메키스,46개,49개,평점 중앙값 이상의 작품
22,사운드 오브 뮤직,멜로/로맨스,172분,전체 관람가,로버트 와이즈,51개,38개,평점 중앙값 이상의 작품
23,포레스트 검프,드라마,142분,12세 관람가,로버트 저메키스,46개,98개,평점 중앙값 이상의 작품
24,잭 스나이더의 저스티스 리그,액션,242분,12세 관람가,잭 스나이더,19개,70개,평점 중앙값 이상의 작품
25,위대한 쇼맨,드라마,104분,12세 관람가,마이클 그레이시,2개,46개,평점 중앙값 이상의 작품
26,글래디에이터,액션,154분,15세 관람가,리들리 스콧,76개,49개,평점 중앙값 이상의 작품
27,타이타닉,멜로/로맨스,194분,15세 관람가,제임스 카메론,43개,58개,평점 중앙값 이상의 작품
28,인생은 아름다워,드라마,116분,전체 관람가,로베르토 베니니,20개,20개,평점 중앙값 이상의 작품
29,헬프,드라마,146분,전체 관람가,테이트 테일러,10개,28개,평점 중앙값 이상의 작품
30,살인의 추억,범죄,132분,15세 관람가,봉준호,33개,41개,평점 중앙값 이상의 작품
31,매트릭스,SF,136분,12세 관람가,릴리 워쇼스키,14개,83개,평점 중앙값 이상의 작품
32,가나의 혼인잔치: 언약,다큐멘터리,73분,전체 관람가,브렌트 밀러 주니어,1개,1개,평점 중앙값 이상의 작품
33,센과 치히로의 행방불명,애니메이션,126분,전체 관람가,미야자키 하야오,40개,5개,평점 중앙값 이상의 작품
34,토이 스토리 3,애니메이션,102분,전체 관람가,리 언크리치,7개,98개,평점 중앙값 이상의 작품
35,캐스트 어웨이,드라마,143분,12세 관람가,로버트 저메키스,46개,98개,평점 중앙값 이상의 작품
36,헌터 킬러,액션,121분,15세 관람가,도노반 마시,4개,57개,평점 중앙값 이상의 작품
37,집으로...,드라마,87분,전체 관람가,이정향,8개,1개,평점 중앙값 이상의 작품
38,반지의 제왕: 왕의 귀환,판타지,263분,12세 관람가,피터 잭슨,25개,65개,평점 중앙값 이상의 작품
39,태극권,액션,96분,15세 관람가,원화평,78개,53개,평점 중앙값 이상의 작품
40,죽은 시인의 사회,드라마,128분,12세 관람가,피터 위어,15개,84개,평점 중앙값 이상의 작품
41,어벤져스: 엔드게임,액션,181분,12세 관람가,안소니 루소,15개,87개,평점 중앙값 이상의 작품
42,히든 피겨스,드라마,127분,12세 관람가,데오도르 멜피,9개,46개,평점 중앙값 이상의 작품
43,레옹,범죄,132분,청소년 관람불가,뤽 베송,92개,69개,평점 중앙값 이상의 작품
44,알라딘,모험,128분,전체 관람가,가이 리치,17개,3개,평점 중앙값 이상의 작품
45,쉰들러 리스트,드라마,196분,15세 관람가,스티븐 스필버그,145개,98개,평점 중앙값 이상의 작품
46,아이 캔 스피크,드라마,119분,12세 관람가,김현석,15개,97개,평점 중앙값 이상의 작품
47,클레멘타인,액션,100분,15세 관람가,김두영,11개,42개,평점 중앙값 이상의 작품
48,동주,드라마,110분,12세 관람가,이준익,32개,29개,평점 중앙값 이상의 작품
49,안녕 베일리,가족,109분,전체 관람가,게일 맨쿠소,22개,33개,평점 중앙값 이상의 작품
50,여인의 향기,드라마,157분,15세 관람가,마틴 브레스트,10개,65개,평점 중앙값 이상의 작품
51,서유기 2 - 선리기연,코미디,99분,15세 관람가,유진위,40개,72개,평점 중앙값 이상의 작품
52,미스 슬로운,드라마,132분,15세 관람가,존 매든,15개,39개,평점 중앙값 이상의 작품
53,굿 윌 헌팅,드라마,126분,15세 관람가,구스 반 산트,43개,82개,평점 중앙값 이상의 작품
54,다시 태어나도 우리,다큐멘터리,95분,전체 관람가,문창용,1개,1개,평점 중앙값 이상의 작품
55,트루먼 쇼,코미디,103분,12세 관람가,피터 위어,15개,48개,평점 중앙값 이상의 작품
56,굿바이 마이 프랜드,드라마,97분,12세 관람가,피터 호튼,27개,20개,평점 중앙값 이상의 작품
57,주토피아,애니메이션,108분,전체 관람가,바이론 하워드,7개,26개,평점 중앙값 이상의 작품
58,지상의 별처럼,드라마,163분,전체 관람가,아미르 칸,30개,1개,평점 중앙값 이상의 작품
59,아이즈 온 미 : 더 무비,공연실황,104분,상영등급 정보 없음,권은비,1개,연기자 없음,평점 중앙값 이상의 작품
60,반지의 제왕: 두 개의 탑,판타지,235분,12세 관람가,피터 잭슨,25개,65개,평점 중앙값 이상의 작품
61,모노노케 히메,애니메이션,135분,전체 관람가,미야자키 하야오,40개,12개,평점 중앙값 이상의 작품
62,해리 포터와 마법사의 돌,판타지,152분,전체 관람가,크리스 콜럼버스,38개,28개,평점 중앙값 이상의 작품
63,세 얼간이,코미디,141분,12세 관람가,라지쿠마르 히라니,8개,30개,평점 중앙값 이상의 작품
64,"지금, 만나러 갑니다",멜로/로맨스,118분,12세 관람가,도이 노부히로,24개,46개,평점 중앙값 이상의 작품
65,나 홀로 집에 2 - 뉴욕을 헤매다,모험,115분,전체 관람가,크리스 콜럼버스,38개,19개,평점 중앙값 이상의 작품
66,더 록,액션,131분,15세 관람가,마이클 베이,41개,62개,평점 중앙값 이상의 작품
67,에이리언 2,SF,137분,15세 관람가,제임스 카메론,43개,77개,평점 중앙값 이상의 작품
68,아기공룡 둘리 - 얼음별 대모험,애니메이션,80분,전체 관람가,김수정,7개,38개,평점 중앙값 이상의 작품
69,울지마 톤즈,다큐멘터리,91분,전체 관람가,구수환,2개,14개,평점 중앙값 이상의 작품
70,미세스 다웃파이어,코미디,125분,12세 관람가,크리스 콜럼버스,38개,84개,평점 중앙값 이상의 작품
71,다크 나이트,액션,152분,15세 관람가,크리스토퍼 놀란,20개,53개,평점 중앙값 이상의 작품
72,알라딘,애니메이션,90분,전체 관람가,존 머스커,9개,8개,평점 중앙값 이상의 작품
73,아마데우스,드라마,180분,12세 관람가,밀로스 포만,29개,20개,평점 중앙값 이상의 작품
74,빌리 엘리어트,드라마,110분,12세 관람가,스티븐 달드리,11개,32개,평점 중앙값 이상의 작품
75,로망,멜로/로맨스,112분,전체 관람가,이창근,1개,220개,평점 중앙값 이상의 작품
76,언터처블: 1%의 우정,코미디,112분,12세 관람가,올리비에르 나카체,8개,47개,평점 중앙값 이상의 작품
77,그대를 사랑합니다,드라마,118분,15세 관람가,추창민,10개,220개,평점 중앙값 이상의 작품
78,아이 엠 샘,드라마,132분,12세 관람가,제시 넬슨,12개,65개,평점 중앙값 이상의 작품
79,달링,드라마,118분,12세 관람가,앤디 서키스,55개,22개,평점 중앙값 이상의 작품
80,피아니스트,드라마,148분,12세 관람가,로만 폴란스키,44개,56개,평점 중앙값 이상의 작품
81,시네마 천국,드라마,124분,전체 관람가,쥬세페 토르나토레,19개,22개,평점 중앙값 이상의 작품
